# mu = -0.833365, sigma = 0.613888
BLOCK, ACTUAL_E, E_AVE, ERR
1, -0.446555, -0.446555, 0
2, -0.434229, -0.440392, 0
3, -0.471527, -0.45077, 0.15956
4, -0.355398, -0.426927, 0.117093
5, -0.463286, -0.434199, 0.094577
6, -0.312637, -0.413939, 0.0749833
7, -0.445633, -0.418466, 0.0643427
8, -0.499571, -0.428605, 0.0573034
9, -0.351152, -0.419999, 0.0496866
10, -0.461133, -0.424112, 0.0449038
11, -0.420392, -0.423774, 0.0405898
12, -0.450753, -0.426022, 0.0372525
13, -0.451075, -0.427949, 0.0344219
14, -0.454447, -0.429842, 0.0320082
15, -0.43457, -0.430157, 0.0298157
16, -0.44597, -0.431146, 0.0279506
17, -0.438511, -0.431579, 0.0262777
18, -0.397862, -0.429706, 0.0246693
19, -0.456086, -0.431094, 0.0234083
20, -0.451999, -0.432139, 0.0222585
21, -0.43368, -0.432213, 0.0211727
22, -0.422425, -0.431768, 0.0201644
23, -0.438017, -0.43204, 0.0192775
24, -0.485666, -0.434274, 0.018555
25, -0.409184, -0.43327, 0.0177556
26, -0.436811, -0.433407, 0.0170624
27, -0.450524, -0.434041, 0.0164407
28, -0.473288, -0.435442, 0.015894
29, -0.436526, -0.43548, 0.0153359
30, -0.428428, -0.435245, 0.0148065
31, -0.432391, -0.435152, 0.0143166
32, -0.475213, -0.436404, 0.0139021
33, -0.455701, -0.436989, 0.0134914
34, -0.41525, -0.43635, 0.0130689
35, -0.481445, -0.437638, 0.0127281
36, -0.414705, -0.437001, 0.0123511
37, -0.433535, -0.436907, 0.0120092
38, -0.453946, -0.437356, 0.0117001
39, -0.466572, -0.438105, 0.0114154
40, -0.44816, -0.438356, 0.011132
41, -0.442283, -0.438452, 0.0108587
42, -0.447499, -0.438668, 0.0106016
43, -0.466313, -0.43931, 0.010367
44, -0.445161, -0.439443, 0.0101311
45, -0.416802, -0.43894, 0.00989185
46, -0.444733, -0.439066, 0.00967666
47, -0.43429, -0.438965, 0.00946586
48, -0.420126, -0.438572, 0.00925802
49, -0.451401, -0.438834, 0.00907211
50, -0.449215, -0.439042, 0.00889262
51, -0.440982, -0.43908, 0.00871686
52, -0.413862, -0.438595, 0.00853807
53, -0.367152, -0.437247, 0.00835155
54, -0.460394, -0.437675, 0.00820324
55, -0.480679, -0.438457, 0.00806734
56, -0.440388, -0.438492, 0.00792222
57, -0.493938, -0.439464, 0.0077999
58, -0.449894, -0.439644, 0.00766704
59, -0.428725, -0.439459, 0.00753253
60, -0.458341, -0.439774, 0.00741099
61, -0.466067, -0.440205, 0.0072955
62, -0.439829, -0.440199, 0.00717648
63, -0.433622, -0.440094, 0.00705971
64, -0.470627, -0.440572, 0.00695601
65, -0.442518, -0.440601, 0.00684837
66, -0.336488, -0.439024, 0.00672239
67, -0.422268, -0.438774, 0.00661734
68, -0.452679, -0.438978, 0.0065221
69, -0.474475, -0.439493, 0.00643441
70, -0.474617, -0.439995, 0.00634906
71, -0.451426, -0.440156, 0.00626106
72, -0.460037, -0.440432, 0.00617719
73, -0.453421, -0.44061, 0.00609424
74, -0.469135, -0.440995, 0.0060165
75, -0.46919, -0.441371, 0.00594072
76, -0.464107, -0.44167, 0.00586588
77, -0.473191, -0.44208, 0.00579453
78, -0.503797, -0.442871, 0.00573045
79, -0.444879, -0.442896, 0.00565758
80, -0.453885, -0.443034, 0.00558797
81, -0.454194, -0.443171, 0.0055201
82, -0.452656, -0.443287, 0.00545362
83, -0.453899, -0.443415, 0.00538891
84, -0.428632, -0.443239, 0.00532214
85, -0.457104, -0.443402, 0.00526095
86, -0.453245, -0.443517, 0.00520061
87, -0.443192, -0.443513, 0.0051403
88, -0.438643, -0.443457, 0.00508078
89, -0.470467, -0.443761, 0.00502676
90, -0.475567, -0.444114, 0.00497453
91, -0.409316, -0.443732, 0.00491539
92, -0.463226, -0.443944, 0.00486389
93, -0.461571, -0.444133, 0.00481327
94, 0.060391, -0.438766, 0.00473722
95, -0.484522, -0.439248, 0.00469194
96, -0.348232, -0.4383, 0.00463354
97, -0.451925, -0.43844, 0.00458654
98, -0.437407, -0.43843, 0.00453895
99, -0.369911, -0.437737, 0.00448603
100, -0.367239, -0.437032, 0.00443408
101, -0.465003, -0.437309, 0.00439237
102, -0.437367, -0.43731, 0.0043487
103, -0.410301, -0.437048, 0.00430343
104, -0.478847, -0.43745, 0.0042655
105, -0.46205, -0.437684, 0.0042266
106, -0.483862, -0.43812, 0.00419049
107, -0.475297, -0.438467, 0.00415416
108, -0.411008, -0.438213, 0.00411291
109, -0.449611, -0.438317, 0.00407564
110, -0.471631, -0.43862, 0.00404094
111, -0.426683, -0.438513, 0.0040031
112, -0.459659, -0.438701, 0.00396861
113, -0.410288, -0.43845, 0.00393089
114, -0.405586, -0.438162, 0.00389354
115, -0.477806, -0.438506, 0.00386237
116, -0.450292, -0.438608, 0.00382954
117, -0.470785, -0.438883, 0.00379882
118, -0.45057, -0.438982, 0.00376707
119, -0.462554, -0.43918, 0.00373672
120, -0.398222, -0.438839, 0.0037025
121, -0.471824, -0.439112, 0.00367386
122, -0.164972, -0.436864, 0.00363078
123, -0.465741, -0.437099, 0.00360282
124, -0.495931, -0.437574, 0.00357743
125, -0.465948, -0.437801, 0.00355029
126, -0.468436, -0.438044, 0.00352372
127, -0.424612, -0.437938, 0.00349479
128, -0.432504, -0.437896, 0.00346679
129, -0.456097, -0.438037, 0.00344068
130, -0.329704, -0.437203, 0.00340828
131, -0.471427, -0.437465, 0.00338398
132, -0.470687, -0.437716, 0.00335997
133, -0.430125, -0.437659, 0.00333396
134, -0.414596, -0.437487, 0.00330751
135, -0.511455, -0.438035, 0.00328708
136, -0.462582, -0.438216, 0.00326395
137, -0.43054, -0.438159, 0.00323942
138, -0.387047, -0.437789, 0.00321314
139, -0.449485, -0.437873, 0.00319034
140, -0.475232, -0.43814, 0.00316924
141, -0.461223, -0.438304, 0.00314767
142, -0.498567, -0.438728, 0.0031284
143, -0.497496, -0.439139, 0.00310931
144, -0.471289, -0.439362, 0.00308905
145, -0.219146, -0.437844, 0.00305968
146, -0.45624, -0.43797, 0.00303933
147, -0.463869, -0.438146, 0.00301961
148, -0.460803, -0.438299, 0.003
149, -0.439043, -0.438304, 0.00297964
150, -0.461586, -0.438459, 0.00296058
151, -0.453587, -0.438559, 0.0029414
152, -0.483619, -0.438856, 0.00292384
153, -0.43873, -0.438855, 0.00290449
154, -0.454753, -0.438958, 0.00288607
155, -0.452152, -0.439043, 0.00286777
156, -0.436234, -0.439025, 0.00284905
157, -0.481037, -0.439293, 0.00283246
158, -0.483077, -0.43957, 0.00281615
159, -0.467675, -0.439747, 0.00279936
160, -0.454625, -0.43984, 0.00278224
161, -0.433723, -0.439802, 0.00276452
162, -0.448279, -0.439854, 0.00274758
163, -0.465142, -0.440009, 0.0027315
164, -0.366194, -0.439559, 0.00271215
165, -0.440308, -0.439564, 0.00269555
166, -0.473764, -0.43977, 0.0026804
167, -0.438973, -0.439765, 0.00266414
168, -0.372965, -0.439367, 0.00264592
169, -0.410444, -0.439196, 0.00262911
170, -0.408497, -0.439016, 0.00261245
171, -0.461217, -0.439145, 0.00259777
172, -0.473439, -0.439345, 0.00258369
173, -0.455681, -0.439439, 0.00256914
174, -0.464838, -0.439585, 0.00255507
175, -0.459155, -0.439697, 0.00254095
176, -0.453262, -0.439774, 0.0025268
177, -0.473071, -0.439962, 0.00251346
178, -0.452257, -0.440031, 0.00249958
179, -0.438573, -0.440023, 0.00248541
180, -0.49669, -0.440338, 0.00247331
181, -0.399663, -0.440113, 0.00245831
182, -0.478225, -0.440323, 0.00244585
183, -0.434134, -0.440289, 0.00243216
184, -0.45882, -0.44039, 0.00241936
185, -0.431287, -0.44034, 0.00240588
186, -0.476091, -0.440533, 0.00239388
187, -0.422166, -0.440434, 0.00238043
188, -0.444443, -0.440456, 0.00236775
189, -0.430335, -0.440402, 0.00235481
190, -0.457016, -0.44049, 0.00234275
191, -0.448116, -0.440529, 0.00233057
192, -0.452018, -0.440589, 0.00231862
193, -0.415191, -0.440458, 0.00230582
194, -0.448071, -0.440497, 0.00229402
195, -0.450231, -0.440547, 0.00228239
196, -0.446339, -0.440576, 0.00227078
197, -0.442269, -0.440585, 0.00225918
198, -0.440518, -0.440585, 0.00224765
199, -0.476866, -0.440767, 0.0022372
200, -0.444719, -0.440787, 0.002226
201, -0.465038, -0.440907, 0.00221543
202, -0.451973, -0.440962, 0.00220462
203, -0.456957, -0.441041, 0.00219405
204, -0.385285, -0.440768, 0.00218194
205, -0.496455, -0.441039, 0.0021726
206, -0.419596, -0.440935, 0.00216146
207, -0.382072, -0.440651, 0.00214964
208, -0.472288, -0.440803, 0.00213996
209, -0.469243, -0.440939, 0.00213029
210, -0.416251, -0.440821, 0.00211951
211, -0.430168, -0.440771, 0.00210913
212, -0.451983, -0.440824, 0.00209934
213, -0.440178, -0.440821, 0.00208937
214, -0.413167, -0.440692, 0.00207893
215, -0.448517, -0.440728, 0.00206934
216, -0.405459, -0.440565, 0.00205895
217, -0.340241, -0.440102, 0.0020475
218, -0.485165, -0.440309, 0.00203901
219, -0.448603, -0.440347, 0.00202978
220, -0.444068, -0.440364, 0.00202055
221, -0.448418, -0.4404, 0.00201148
222, -0.430629, -0.440356, 0.00200214
223, -0.436791, -0.44034, 0.00199301
224, -0.483427, -0.440533, 0.00198493
225, -0.464008, -0.440637, 0.0019765
226, -0.481594, -0.440818, 0.00196851
227, -0.444079, -0.440833, 0.00195982
228, -0.450611, -0.440876, 0.00195134
229, -0.439818, -0.440871, 0.00194272
230, -0.38376, -0.440623, 0.00193319
231, -0.407145, -0.440478, 0.00192415
232, -0.448173, -0.440511, 0.00191592
233, -0.437051, -0.440496, 0.00190756
234, -0.380382, -0.440239, 0.00189832
235, -0.441783, -0.440246, 0.0018902
236, -0.436241, -0.440229, 0.00188205
237, -0.326873, -0.43975, 0.00187229
